grid_ix,grid_iy,orig,dl,cmp
0,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
2,0,7.01,6.2736,-0.7363999999999997
3,0,12.28,2.3434,-9.936599999999999
4,0,4.0,35.2534,31.2534
5,0,49.0,11.6613,-37.3387
6,0,344.0,27.6389,-316.3611
7,0,6.91,7.258,0.34799999999999986
8,0,0.0,0.0,0.0
9,0,0.0,0.0,0.0
10,0,0.0,0.0,0.0
11,0,0.0,0.0,0.0
12,0,0.0,0.0,0.0
13,0,0.0,0.0,0.0
14,0,0.0,0.0,0.0
15,0,0.0,0.0,0.0
16,0,0.0,0.0,0.0
17,0,0.0,0.0,0.0
0,1,0.0,0.0,0.0
1,1,0.0,0.0,0.0
2,1,24.25,8.0749,-16.1751
3,1,0.28,7.1454,6.8654
4,1,14.0,256.7401,242.74009999999998
5,1,0.0,4.1326,4.1326
6,1,0.0,104.7995,104.7995
7,1,661.01,117.7151,-543.2949
8,1,1170.0,60.1798,-1109.8202
9,1,0.0,0.0,0.0
10,1,0.0,0.0,0.0
11,1,0.0,0.0,0.0
12,1,0.0,0.0,0.0
13,1,0.0,0.0,0.0
14,1,0.0,0.0,0.0
15,1,0.0,0.0,0.0
16,1,0.0,0.0,0.0
17,1,0.0,0.0,0.0
0,2,0.0,0.0,0.0
1,2,0.0,0.0,0.0
2,2,0.3,11.2795,10.9795
3,2,0.0,0.1678,0.1678
4,2,1.95,207.6731,205.72310000000002
5,2,0.2,159.4849,159.28490000000002
6,2,0.07,1.4693,1.3993
7,2,5.0,0.0872,-4.9128
8,2,0.84,93.3479,92.50789999999999
9,2,0.22,18.1941,17.9741
10,2,0.46,40.6528,40.1928
11,2,0.0,0.0,0.0
12,2,0.0,0.0,0.0
13,2,0.0,0.0,0.0
14,2,0.0,0.0,0.0
15,2,0.0,0.0,0.0
16,2,0.0,0.0,0.0
17,2,0.0,0.0,0.0
0,3,0.0,0.0,0.0
1,3,0.01,0.5329,0.5229
2,3,28.05,1079.4462,1051.3962000000001
3,3,0.0,104.6271,104.6271
4,3,303.0,46.1772,-256.82280000000003
5,3,1.23,64.8423,63.6123
6,3,5.0,65.42,60.42
7,3,670.93,199.0197,-471.91029999999995
8,3,209.0,191.9083,-17.091700000000003
9,3,0.0,36.4172,36.4172
10,3,1.02,46.9782,45.9582
11,3,0.0,1.3504,1.3504
12,3,0.0,0.0,0.0
13,3,0.0,0.0,0.0
14,3,0.0,0.0,0.0
15,3,0.0,0.0,0.0
16,3,0.0,0.0,0.0
17,3,0.0,0.0,0.0
0,4,0.0,0.4328,0.4328
1,4,0.7,0.2506,-0.44939999999999997
2,4,0.0,1.9459,1.9459
3,4,0.001,47.484,47.483000000000004
4,4,0.29,44.725,44.435
5,4,1.1,56.1646,55.0646
6,4,0.36,61.6656,61.3056
7,4,0.54,22.0934,21.5534
8,4,84.0,8.9148,-75.0852
9,4,0.92,26.2074,25.287399999999998
10,4,1.04,47.8246,46.7846
11,4,0.6,9.2638,8.6638
