grid_ix,grid_iy,cmp
0,0,0.0
1,0,0.0
2,0,-0.7363999999999997
3,0,-9.936599999999999
4,0,31.2534
5,0,-37.3387
6,0,-316.3611
7,0,0.34799999999999986
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,0,0.0
14,0,0.0
15,0,0.0
16,0,0.0
17,0,0.0
0,1,0.0
1,1,0.0
2,1,-16.1751
3,1,6.8654
4,1,242.74009999999998
5,1,4.1326
6,1,104.7995
7,1,-543.2949
8,1,-1109.8202
9,1,0.0
10,1,0.0
11,1,0.0
12,1,0.0
13,1,0.0
14,1,0.0
15,1,0.0
16,1,0.0
17,1,0.0
0,2,0.0
1,2,0.0
2,2,10.9795
3,2,0.1678
4,2,205.72310000000002
5,2,159.28490000000002
6,2,1.3993
7,2,-4.9128
8,2,92.50789999999999
9,2,17.9741
10,2,40.1928
11,2,0.0
12,2,0.0
13,2,0.0
14,2,0.0
15,2,0.0
16,2,0.0
17,2,0.0
0,3,0.0
1,3,0.5229
2,3,1051.3962000000001
3,3,104.6271
4,3,-256.82280000000003
5,3,63.6123
6,3,60.42
7,3,-471.91029999999995
8,3,-17.091700000000003
9,3,36.4172
10,3,45.9582
11,3,1.3504
12,3,0.0
13,3,0.0
14,3,0.0
15,3,0.0
16,3,0.0
17,3,0.0
0,4,0.4328
1,4,-0.44939999999999997
2,4,1.9459
3,4,47.483000000000004
4,4,44.435
5,4,55.0646
6,4,61.3056
7,4,21.5534
8,4,-75.0852
9,4,25.287399999999998
10,4,46.7846
11,4,8.6638
12,4,0.0
13,4,0.0
14,4,0.0
15,4,0.0
16,4,0.0
17,4,0.0
0,5,-0.4534999999999999
1,5,3.6748999999999996
2,5,29.1374
3,5,2.4250000000000003
4,5,58.5856
5,5,-31.896600000000007
6,5,8.6646
7,5,61.1956
8,5,2.6406
9,5,-51.19479999999999
10,5,4.707000000000001
11,5,0.48600000000000004
12,5,182.972
13,5,0.0
14,5,0.0
15,5,0.0
16,5,0.0
17,5,0.0
0,6,0.0968
1,6,2.0724
2,6,-0.7811000000000003
3,6,41.7143
4,6,3.3527
5,6,7.1387
6,6,5.4854
7,6,37.534
8,6,4.8663
9,6,2.6345
10,6,2.1036
11,6,1.22
12,6,7.302899999999999
13,6,4.5363
14,6,0.1468
15,6,0.0
16,6,0.0
17,6,0.0
0,7,0.22379999999999978
1,7,0.3860000000000001
2,7,115.3001
3,7,4.3829
4,7,2.4192
5,7,6.8301
6,7,0.9245000000000001
7,7,1.0452
8,7,3.6635000000000004
9,7,0.5522
10,7,3.8446
11,7,0.8436000000000003
12,7,6.1219
13,7,4.479
14,7,1.5045
15,7,0.1468
16,7,0.0
17,7,0.0
0,8,5.8369
1,8,1.8800000000000001
2,8,19.2657
3,8,0.2438
4,8,0.532599999
5,8,3.2636
6,8,21.3095
7,8,-997.8466
8,8,3.0805
9,8,0.0403
10,8,2.7361000000000004
11,8,5.814500000000001
12,8,112.56129999999999
13,8,11.5717
14,8,54.4776
15,8,0.6454
16,8,0.0
17,8,0.0
0,9,0.4937
1,9,1.3562999999999998
2,9,-5.7277
3,9,0.2959
4,9,3.6972
5,9,0.2224
6,9,100.8317
7,9,-980.9186
8,9,19.7571
9,9,8.7073
10,9,8.3335
11,9,7.0071
12,9,8.2399
13,9,210.98919999999998
14,9,-553.287
15,9,0.0
16,9,0.0
17,9,0.0
0,10,0.0
1,10,45.151799999999994
2,10,32.5644
3,10,0.4377
4,10,0.0582
5,10,0.6251
6,10,0.995
7,10,9.165099999999999
8,10,6.556900000000001
9,10,3.6726
10,10,9.1867
11,10,-135.2063
12,10,1.7544
13,10,10.274
14,10,-4988.3978
15,10,2.5459
16,10,90.7405
17,10,0.1585
0,11,0.0
1,11,0.0
2,11,0.0
3,11,0.0
4,11,0.0
5,11,0.6251
6,11,0.0
7,11,0.5081
8,11,3.2675
9,11,0.0064
10,11,-0.061799999999999994
11,11,1.0677
12,11,1.9891
13,11,0.0
14,11,131.0094
15,11,-67.64320000000001
16,11,176.3904
17,11,0.0687
0,12,0.0
1,12,0.0
2,12,0.0
3,12,0.0
4,12,0.0
5,12,0.0
6,12,0.0
7,12,0.0
8,12,0.0
9,12,0.0
10,12,0.0
11,12,0.3639
12,12,0.0
13,12,0.0555
14,12,0.0531
15,12,0.1108
16,12,15.407
17,12,0.0
0,13,0.0
1,13,0.0
2,13,0.0
3,13,0.0
4,13,0.0
5,13,0.0
6,13,0.0
7,13,0.0
8,13,0.0
9,13,0.0
10,13,0.0
11,13,0.0
12,13,0.4154
13,13,441.0662
14,13,0.3422
15,13,3.6459
16,13,0.0
17,13,0.0
